Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2016,AL,Alabama,Alcohol Consumption,Binge Drinking,"Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)",No,Overall,Overall,"5,874",87.05,85.93,88.17,1,%,Crude Prevalence,,,BRFSS,CLASS01,TOPIC07,01,BO1,CAT1,_RFBING5,RESP054,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Alcohol Consumption,Heavy Drinking,Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions),Do not meet criteria for heavy drinking,Overall,Overall,"6,269",94.58,93.84,95.32,1,%,Crude Prevalence,,,BRFSS,CLASS01,TOPIC30,01,BO1,CAT1,_RFDRHV5,RESP205,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Alcohol Consumption,Heavy Drinking,Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions),Meet criteria for heavy drinking,Overall,Overall,319,5.42,4.68,6.16,1,%,Crude Prevalence,,,BRFSS,CLASS01,TOPIC30,01,BO1,CAT1,_RFDRHV5,RESP206,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Chronic Health Indicators,Arthritis,Adults who have been told they have arthritis (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"2,930",33.55,32.18,34.92,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC05,01,BO1,CAT1,_DRDXAR1,RESP046,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Chronic Health Indicators,Arthritis,Adults who have been told they have arthritis (variable calculated from one or more BRFSS questions),No,Overall,Overall,"4,066",66.45,65.08,67.82,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC05,01,BO1,CAT1,_DRDXAR1,RESP054,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Chronic Health Indicators,Asthma,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,671,9.71,8.73,10.69,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC06,01,BO1,CAT1,_CASTHM1,RESP046,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Chronic Health Indicators,Asthma,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),No,Overall,Overall,"6,309",90.29,89.31,91.27,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC06,01,BO1,CAT1,_CASTHM1,RESP054,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Chronic Health Indicators,Asthma,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,022",14.93,13.75,16.11,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC06,01,BO1,CAT1,_LTASTH1,RESP046,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Chronic Health Indicators,Asthma,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),No,Overall,Overall,"5,993",85.07,83.89,86.25,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC06,01,BO1,CAT1,_LTASTH1,RESP054,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,518,6.12,5.45,6.79,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,01,BO1,CAT1,CVDCRHD4,RESP046,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,Overall,Overall,"6,439",93.88,93.21,94.55,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,01,BO1,CAT1,CVDCRHD4,RESP054,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Chronic Health Indicators,Cardiovascular Disease,Ever told you had a heart attack (myocardial infarction)?,Yes,Overall,Overall,486,5.87,5.22,6.52,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,01,BO1,CAT1,CVDINFR4,RESP046,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Chronic Health Indicators,Cardiovascular Disease,Ever told you had a heart attack (myocardial infarction)?,No,Overall,Overall,"6,498",94.13,93.48,94.78,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,01,BO1,CAT1,CVDINFR4,RESP054,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Chronic Health Indicators,Cardiovascular Disease,Ever told you had a stroke?,Yes,Overall,Overall,417,4.63,4.06,5.2,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,01,BO1,CAT1,CVDSTRK3,RESP046,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Chronic Health Indicators,Cardiovascular Disease,Ever told you had a stroke?,No,Overall,Overall,"6,593",95.37,94.8,95.94,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,01,BO1,CAT1,CVDSTRK3,RESP054,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Chronic Health Indicators,COPD,Ever told you have COPD?,Yes,Overall,Overall,807,9.53,8.71,10.35,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC14,01,BO1,CAT1,CHCCOPD1,RESP046,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Chronic Health Indicators,COPD,Ever told you have COPD?,No,Overall,Overall,"6,200",90.47,89.65,91.29,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC14,01,BO1,CAT1,CHCCOPD1,RESP054,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,Overall,Overall,"1,578",21.97,20.66,23.28,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC17,01,BO1,CAT1,ADDEPEV2,RESP046,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Chronic Health Indicators,Skin Cancer,Ever told you had skin cancer?,No,Overall,Overall,"6,259",91.6,90.86,92.34,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC53,01,BO1,CAT1,CHCSCNCR,RESP054,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,Overall,Overall,"5,419",78.03,76.72,79.34,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC17,01,BO1,CAT1,ADDEPEV2,RESP054,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,"1,252",14.63,13.59,15.67,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC18,01,BO1,CAT1,DIABETE3,RESP046,"(32.84057112200048, -86.63186076199969)"
2016,FL,Florida,Demographics,Age,What is your age?,25-34 years,Overall,Overall,"3,502",15.77,14.95,16.59,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC02,12,BO1,CAT1,AGE,RESP011,"(28.932040377000476, -81.92896053899966)"
2016,AL,Alabama,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,"Yes, pregnancy-related",Overall,Overall,51,0.84,0.55,1.13,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC18,01,BO1,CAT1,DIABETE3,RESP051,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,"No, pre-diabetes or borderline diabetes",Overall,Overall,90,1.14,0.81,1.47,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC18,01,BO1,CAT1,DIABETE3,RESP052,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,No,Overall,Overall,"5,624",83.39,82.27,84.51,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC18,01,BO1,CAT1,DIABETE3,RESP054,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Chronic Health Indicators,Kidney,Ever told you have kidney disease?,Yes,Overall,Overall,294,3.69,3.16,4.22,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC35,01,BO1,CAT1,CHCKIDNY,RESP046,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Chronic Health Indicators,Kidney,Ever told you have kidney disease?,No,Overall,Overall,"6,706",96.31,95.78,96.84,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC35,01,BO1,CAT1,CHCKIDNY,RESP054,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Chronic Health Indicators,Other Cancer,Ever told you had any other types of cancer?,Yes,Overall,Overall,676,7.33,6.64,8.02,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC40,01,BO1,CAT1,CHCOCNCR,RESP046,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Chronic Health Indicators,Other Cancer,Ever told you had any other types of cancer?,No,Overall,Overall,"6,339",92.67,91.98,93.36,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC40,01,BO1,CAT1,CHCOCNCR,RESP054,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Chronic Health Indicators,Skin Cancer,Ever told you had skin cancer?,Yes,Overall,Overall,761,8.4,7.66,9.14,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC53,01,BO1,CAT1,CHCSCNCR,RESP046,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Colorectal Cancer Screening,Blood Stool Test,Aged 50-75 had a blood stool test within the past 3 years,Received a home FOBT,Overall,Overall,8,,,,1,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS04,TOPIC08,01,BO1,CAT1,_FOBTFS,RESP209,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Colorectal Cancer Screening,Blood Stool Test,Aged 50-75 had a blood stool test within the past 3 years,Did not receive a home FOBT,Overall,Overall,"3,068",99.83,99.69,99.97,1,%,Crude Prevalence,,,BRFSS,CLASS04,TOPIC08,01,BO1,CAT1,_FOBTFS,RESP210,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50-75 who have had a blood stool test within the past year (variable calculated from one or more BRFSS questions),Had a blood stool test in the past year,Overall,Overall,325,8.91,7.75,10.07,1,%,Crude Prevalence,,,BRFSS,CLASS04,TOPIC08,01,BO1,CAT1,_RFBLDS3,RESP190,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50-75 who have had a blood stool test within the past year (variable calculated from one or more BRFSS questions),Have not had a blood stool test in the past year,Overall,Overall,"3,067",91.09,89.93,92.25,1,%,Crude Prevalence,,,BRFSS,CLASS04,TOPIC08,01,BO1,CAT1,_RFBLDS3,RESP191,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Colorectal Cancer Screening,Sigmoidoscopy,Aged 50-75 had a sigmoidoscopy within the past 5 years,Received a sigmoidoscopy,Overall,Overall,26,1.37,0.64,2.1,1,%,Crude Prevalence,,,BRFSS,CLASS04,TOPIC52,01,BO1,CAT1,_FS5YR,RESP211,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Colorectal Cancer Screening,Sigmoidoscopy,Aged 50-75 had a sigmoidoscopy within the past 5 years,Did not receive a sigmoidoscopy,Overall,Overall,"1,503",98.63,97.9,99.36,1,%,Crude Prevalence,,,BRFSS,CLASS04,TOPIC52,01,BO1,CAT1,_FS5YR,RESP212,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Colorectal Cancer Screening,USPSTF Recommendations,Respondents aged 50-75 who have fully met the USPSTF recommendation (variable calculated from one or more BRFSS questions),Met USPSTF recommendations for testing,Overall,Overall,"2,362",69.69,67.69,71.69,1,%,Crude Prevalence,,,BRFSS,CLASS04,TOPIC64,01,BO1,CAT1,_CRCREC,RESP192,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Colorectal Cancer Screening,USPSTF Recommendations,Respondents aged 50-75 who have fully met the USPSTF recommendation (variable calculated from one or more BRFSS questions),Did not meet USPSTF recommendations for testing,Overall,Overall,983,30.31,28.31,32.31,1,%,Crude Prevalence,,,BRFSS,CLASS04,TOPIC64,01,BO1,CAT1,_CRCREC,RESP193,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Colorectal Cancer Screening,Colonoscopy,Aged 50-75 had a colonoscopy in the past 10 years,Received a colonoscopy,Overall,Overall,"2,256",66.07,64.03,68.11,1,%,Crude Prevalence,,,BRFSS,CLASS04,TOPIC68,01,BO1,CAT1,_COL10YR,RESP207,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Colorectal Cancer Screening,Colonoscopy,Aged 50-75 had a colonoscopy in the past 10 years,Did not receive a colonoscopy,Overall,Overall,"1,093",33.93,31.89,35.97,1,%,Crude Prevalence,,,BRFSS,CLASS04,TOPIC68,01,BO1,CAT1,_COL10YR,RESP208,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Demographics,Age,What is your age?,18-24 years,Overall,Overall,452,12.76,11.47,14.05,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC02,01,BO1,CAT1,AGE,RESP010,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Demographics,Age,What is your age?,25-34 years,Overall,Overall,795,16.55,15.24,17.86,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC02,01,BO1,CAT1,AGE,RESP011,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Demographics,Age,What is your age?,35-44 years,Overall,Overall,853,15.86,14.64,17.08,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC02,01,BO1,CAT1,AGE,RESP012,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Demographics,Age,What is your age?,45-54 years,Overall,Overall,"1,147",16.73,15.59,17.87,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC02,01,BO1,CAT1,AGE,RESP013,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Demographics,Age,What is your age?,55-64 years,Overall,Overall,"1,513",16.95,15.93,17.97,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC02,01,BO1,CAT1,AGE,RESP014,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Demographics,Age,What is your age?,65+ years,Overall,Overall,"2,271",21.15,20.13,22.17,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC02,01,BO1,CAT1,AGE,RESP015,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Demographics,Disability status,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",Yes,Overall,Overall,480,6.65,5.79,7.51,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC19,01,BO1,CAT1,BLIND,RESP046,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Demographics,Disability status,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",No,Overall,Overall,"6,360",93.35,92.49,94.21,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC19,01,BO1,CAT1,BLIND,RESP054,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Demographics,Disability status,"Do you have serious difficulty concentrating, remembering, or making decisions?",Yes,Overall,Overall,979,14.34,13.22,15.46,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC19,01,BO1,CAT1,DECIDE,RESP046,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Demographics,Disability status,"Do you have serious difficulty concentrating, remembering, or making decisions?",No,Overall,Overall,"5,812",85.66,84.54,86.78,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC19,01,BO1,CAT1,DECIDE,RESP054,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Demographics,Disability status,Do you have difficulty doing errands alone?,Yes,Overall,Overall,754,9.99,9.07,10.91,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC19,01,BO1,CAT1,DIFFALON,RESP046,"(32.84057112200048, -86.63186076199969)"
2016,HI,Hawaii,Demographics,Sex,Gender of respondent,Male,Overall,Overall,"3,773",50.38,48.81,51.95,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC51,15,BO1,CAT1,SEX,RESP001,"(21.304850435000446, -157.85774940299973)"
2016,AL,Alabama,Demographics,Disability status,Do you have difficulty doing errands alone?,No,Overall,Overall,"6,036",90.01,89.09,90.93,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC19,01,BO1,CAT1,DIFFALON,RESP054,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Demographics,Disability status,Do you have difficulty dressing or bathing?,Yes,Overall,Overall,403,5.32,4.63,6.01,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC19,01,BO1,CAT1,DIFFDRES,RESP046,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Demographics,Disability status,Do you have difficulty dressing or bathing?,No,Overall,Overall,"6,420",94.68,93.99,95.37,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC19,01,BO1,CAT1,DIFFDRES,RESP054,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Demographics,Disability status,Do you have serious difficulty walking or climbing stairs?,Yes,Overall,Overall,"1,632",19.92,18.72,21.12,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC19,01,BO1,CAT1,DIFFWALK,RESP046,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Demographics,Disability status,Do you have serious difficulty walking or climbing stairs?,No,Overall,Overall,"5,176",80.08,78.88,81.28,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC19,01,BO1,CAT1,DIFFWALK,RESP054,"(32.84057112200048, -86.63186076199969)"
2016,HI,Hawaii,Demographics,Sex,Gender of respondent,Female,Overall,Overall,"4,314",49.62,48.05,51.19,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC51,15,BO1,CAT1,SEX,RESP002,"(21.304850435000446, -157.85774940299973)"
2016,AL,Alabama,Demographics,Education,What is the highest grade or year of school you completed?,Less than H.S.,Overall,Overall,786,16.07,14.72,17.42,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC21,01,BO1,CAT1,EDUCA,RESP021,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Demographics,Education,What is the highest grade or year of school you completed?,H.S. or G.E.D.,Overall,Overall,"2,232",31.15,29.68,32.62,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC21,01,BO1,CAT1,EDUCA,RESP022,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Demographics,Education,What is the highest grade or year of school you completed?,Some post-H.S.,Overall,Overall,"2,046",31.73,30.26,33.2,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC21,01,BO1,CAT1,EDUCA,RESP023,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Demographics,Education,What is the highest grade or year of school you completed?,College+,Overall,Overall,"1,948",21.04,19.92,22.16,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC21,01,BO1,CAT1,EDUCA,RESP024,"(32.84057112200048, -86.63186076199969)"
2016,ID,Idaho,Demographics,Age,What is your age?,25-34 years,Overall,Overall,487,17.17,15.5,18.84,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC02,16,BO1,CAT1,AGE,RESP011,"(43.682630005000476, -114.3637300419997)"
2016,AL,Alabama,Demographics,Employment,What is your employment status?,No work< yr,Overall,Overall,157,2.84,2.21,3.47,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC22,01,BO1,CAT1,EMPLOY1,RESP027,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Demographics,Employment,What is your employment status?,No work >yr,Overall,Overall,145,2.63,2.06,3.2,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC22,01,BO1,CAT1,EMPLOY1,RESP028,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Demographics,Employment,What is your employment status?,Student,Overall,Overall,191,4.92,4.08,5.76,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC22,01,BO1,CAT1,EMPLOY1,RESP030,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Demographics,Employment,What is your employment status?,Retired,Overall,Overall,"1,960",18.98,18,19.96,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC22,01,BO1,CAT1,EMPLOY1,RESP031,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Demographics,Employment,What is your employment status?,Unable to work,Overall,Overall,"1,053",13.22,12.2,14.24,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC22,01,BO1,CAT1,EMPLOY1,RESP032,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Demographics,Employment,What is your employment status?,Employed,Overall,Overall,"2,636",44.53,42.96,46.1,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC22,01,BO1,CAT1,EMPLOY1,RESP137,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Demographics,Employment,What is your employment status?,Homemaker,Overall,Overall,390,5.75,5.06,6.44,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC22,01,BO1,CAT1,EMPLOY1,RESP141,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Demographics,Employment,What is your employment status?,Self-employed,Overall,Overall,443,7.13,6.27,7.99,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC22,01,BO1,CAT1,EMPLOY1,RESP172,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Demographics,Income,What is your annual household income?,"Less than $15,000",Overall,Overall,874,14.54,13.29,15.79,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC33,01,BO1,CAT1,INCOME,RESP016,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Demographics,Income,What is your annual household income?,"$15,000 - 24,999",Overall,Overall,"1,142",19.7,18.29,21.11,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC33,01,BO1,CAT1,INCOME,RESP017,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Demographics,Income,What is your annual household income?,"$25,000 - 34,999",Overall,Overall,630,11.34,10.18,12.5,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC33,01,BO1,CAT1,INCOME,RESP018,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Demographics,Income,What is your annual household income?,"$35,000 -  49,999",Overall,Overall,743,13.73,12.46,15,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC33,01,BO1,CAT1,INCOME,RESP019,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Demographics,Income,What is your annual household income?,"$50,000+",Overall,Overall,"2,217",40.69,38.98,42.4,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC33,01,BO1,CAT1,INCOME,RESP020,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Demographics,Internet,Have you used the internet in the past 30 days?,Yes,Overall,Overall,"5,094",78.28,77.08,79.48,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC34,01,BO1,CAT1,INTERNET,RESP046,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Demographics,Internet,Have you used the internet in the past 30 days?,No,Overall,Overall,"1,850",21.72,20.52,22.92,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC34,01,BO1,CAT1,INTERNET,RESP054,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Demographics,Marital Status,What is your marital status?,Married,Overall,Overall,"3,506",50.38,48.81,51.95,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC38,01,BO1,CAT1,MARITAL,RESP033,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Demographics,Marital Status,What is your marital status?,Divorced,Overall,Overall,"1,039",11.99,11.07,12.91,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC38,01,BO1,CAT1,MARITAL,RESP034,"(32.84057112200048, -86.63186076199969)"
