GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC10,Total; Estimate; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - Below 138 percent of the poverty threshold
HC01_MOE_VC10,Total; Margin of Error; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - Below 138 percent of the poverty threshold
HC02_EST_VC10,Public Coverage; Estimate; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - Below 138 percent of the poverty threshold
HC02_MOE_VC10,Public Coverage; Margin of Error; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - Below 138 percent of the poverty threshold
HC03_EST_VC10,Percent Public Coverage; Estimate; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - Below 138 percent of the poverty threshold
HC03_MOE_VC10,Percent Public Coverage; Margin of Error; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - Below 138 percent of the poverty threshold
HC01_EST_VC11,Total; Estimate; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - At or above 138 percent of the poverty threshold
HC01_MOE_VC11,Total; Margin of Error; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - At or above 138 percent of the poverty threshold
HC02_EST_VC11,Public Coverage; Estimate; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - At or above 138 percent of the poverty threshold
HC02_MOE_VC11,Public Coverage; Margin of Error; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - At or above 138 percent of the poverty threshold
HC03_EST_VC11,Percent Public Coverage; Estimate; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - At or above 138 percent of the poverty threshold
HC03_MOE_VC11,Percent Public Coverage; Margin of Error; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - At or above 138 percent of the poverty threshold
HC01_EST_VC13,"Total; Estimate; Worked full-time, year-round (18 years and over)"
HC01_MOE_VC13,"Total; Margin of Error; Worked full-time, year-round (18 years and over)"
HC02_EST_VC13,"Public Coverage; Estimate; Worked full-time, year-round (18 years and over)"
HC02_MOE_VC13,"Public Coverage; Margin of Error; Worked full-time, year-round (18 years and over)"
HC03_EST_VC13,"Percent Public Coverage; Estimate; Worked full-time, year-round (18 years and over)"
HC03_MOE_VC13,"Percent Public Coverage; Margin of Error; Worked full-time, year-round (18 years and over)"
HC01_EST_VC14,"Total; Estimate; Worked full-time, year-round (18 years and over) - 18 to 64 years"
HC01_MOE_VC14,"Total; Margin of Error; Worked full-time, year-round (18 years and over) - 18 to 64 years"
HC02_EST_VC14,"Public Coverage; Estimate; Worked full-time, year-round (18 years and over) - 18 to 64 years"
HC02_MOE_VC14,"Public Coverage; Margin of Error; Worked full-time, year-round (18 years and over) - 18 to 64 years"
HC03_EST_VC14,"Percent Public Coverage; Estimate; Worked full-time, year-round (18 years and over) - 18 to 64 years"
HC03_MOE_VC14,"Percent Public Coverage; Margin of Error; Worked full-time, year-round (18 years and over) - 18 to 64 years"
HC01_EST_VC15,"Total; Estimate; Worked full-time, year-round (18 years and over) - 65 years and over"
HC01_MOE_VC15,"Total; Margin of Error; Worked full-time, year-round (18 years and over) - 65 years and over"
HC02_EST_VC15,"Public Coverage; Estimate; Worked full-time, year-round (18 years and over) - 65 years and over"
HC02_MOE_VC15,"Public Coverage; Margin of Error; Worked full-time, year-round (18 years and over) - 65 years and over"
HC03_EST_VC15,"Percent Public Coverage; Estimate; Worked full-time, year-round (18 years and over) - 65 years and over"
HC03_MOE_VC15,"Percent Public Coverage; Margin of Error; Worked full-time, year-round (18 years and over) - 65 years and over"
HC01_EST_VC17,Total; Estimate; Under 6
HC01_MOE_VC17,Total; Margin of Error; Under 6
HC02_EST_VC17,Public Coverage; Estimate; Under 6
HC02_MOE_VC17,Public Coverage; Margin of Error; Under 6
HC03_EST_VC17,Percent Public Coverage; Estimate; Under 6
HC03_MOE_VC17,Percent Public Coverage; Margin of Error; Under 6
HC01_EST_VC18,Total; Estimate; 6 to 17 years
HC01_MOE_VC18,Total; Margin of Error; 6 to 17 years
HC02_EST_VC18,Public Coverage; Estimate; 6 to 17 years
HC02_MOE_VC18,Public Coverage; Margin of Error; 6 to 17 years
HC03_EST_VC18,Percent Public Coverage; Estimate; 6 to 17 years
HC03_MOE_VC18,Percent Public Coverage; Margin of Error; 6 to 17 years
HC01_EST_VC19,Total; Estimate; 18 to 24 years
HC01_MOE_VC19,Total; Margin of Error; 18 to 24 years
HC02_EST_VC19,Public Coverage; Estimate; 18 to 24 years
HC02_MOE_VC19,Public Coverage; Margin of Error; 18 to 24 years
HC03_EST_VC19,Percent Public Coverage; Estimate; 18 to 24 years
HC03_MOE_VC19,Percent Public Coverage; Margin of Error; 18 to 24 years
HC01_EST_VC20,Total; Estimate; 25 to 34 years
HC01_MOE_VC20,Total; Margin of Error; 25 to 34 years
HC02_EST_VC20,Public Coverage; Estimate; 25 to 34 years
HC02_MOE_VC20,Public Coverage; Margin of Error; 25 to 34 years
HC03_EST_VC20,Percent Public Coverage; Estimate; 25 to 34 years
HC03_MOE_VC20,Percent Public Coverage; Margin of Error; 25 to 34 years
HC01_EST_VC21,Total; Estimate; 35 to 44 years
HC01_MOE_VC21,Total; Margin of Error; 35 to 44 years
HC02_EST_VC21,Public Coverage; Estimate; 35 to 44 years
HC02_MOE_VC21,Public Coverage; Margin of Error; 35 to 44 years
HC03_EST_VC21,Percent Public Coverage; Estimate; 35 to 44 years
HC03_MOE_VC21,Percent Public Coverage; Margin of Error; 35 to 44 years
HC01_EST_VC22,Total; Estimate; 45 to 54 years
HC01_MOE_VC22,Total; Margin of Error; 45 to 54 years
HC02_EST_VC22,Public Coverage; Estimate; 45 to 54 years
HC02_MOE_VC22,Public Coverage; Margin of Error; 45 to 54 years
HC03_EST_VC22,Percent Public Coverage; Estimate; 45 to 54 years
HC03_MOE_VC22,Percent Public Coverage; Margin of Error; 45 to 54 years
HC01_EST_VC23,Total; Estimate; 55 to 64 years
HC01_MOE_VC23,Total; Margin of Error; 55 to 64 years
HC02_EST_VC23,Public Coverage; Estimate; 55 to 64 years
HC02_MOE_VC23,Public Coverage; Margin of Error; 55 to 64 years
HC03_EST_VC23,Percent Public Coverage; Estimate; 55 to 64 years
HC03_MOE_VC23,Percent Public Coverage; Margin of Error; 55 to 64 years
HC01_EST_VC24,Total; Estimate; 65 to 74 years
HC01_MOE_VC24,Total; Margin of Error; 65 to 74 years
HC02_EST_VC24,Public Coverage; Estimate; 65 to 74 years
HC02_MOE_VC24,Public Coverage; Margin of Error; 65 to 74 years
HC03_EST_VC24,Percent Public Coverage; Estimate; 65 to 74 years
HC03_MOE_VC24,Percent Public Coverage; Margin of Error; 65 to 74 years
HC01_EST_VC25,Total; Estimate; 75 years and over
HC01_MOE_VC25,Total; Margin of Error; 75 years and over
HC02_EST_VC25,Public Coverage; Estimate; 75 years and over
HC02_MOE_VC25,Public Coverage; Margin of Error; 75 years and over
HC03_EST_VC25,Percent Public Coverage; Estimate; 75 years and over
HC03_MOE_VC25,Percent Public Coverage; Margin of Error; 75 years and over
HC01_EST_VC28,Total; Estimate; MEDICARE COVERAGE ALONE OR IN COMBINATION - Under 18
HC01_MOE_VC28,Total; Margin of Error; MEDICARE COVERAGE ALONE OR IN COMBINATION - Under 18
HC02_EST_VC28,Public Coverage; Estimate; MEDICARE COVERAGE ALONE OR IN COMBINATION - Under 18
HC02_MOE_VC28,Public Coverage; Margin of Error; MEDICARE COVERAGE ALONE OR IN COMBINATION - Under 18
HC03_EST_VC28,Percent Public Coverage; Estimate; MEDICARE COVERAGE ALONE OR IN COMBINATION - Under 18
HC03_MOE_VC28,Percent Public Coverage; Margin of Error; MEDICARE COVERAGE ALONE OR IN COMBINATION - Under 18
HC01_EST_VC29,Total; Estimate; MEDICARE COVERAGE ALONE OR IN COMBINATION - 18 to 64 years
HC01_MOE_VC29,Total; Margin of Error; MEDICARE COVERAGE ALONE OR IN COMBINATION - 18 to 64 years
HC02_EST_VC29,Public Coverage; Estimate; MEDICARE COVERAGE ALONE OR IN COMBINATION - 18 to 64 years
HC02_MOE_VC29,Public Coverage; Margin of Error; MEDICARE COVERAGE ALONE OR IN COMBINATION - 18 to 64 years
HC03_EST_VC29,Percent Public Coverage; Estimate; MEDICARE COVERAGE ALONE OR IN COMBINATION - 18 to 64 years
HC03_MOE_VC29,Percent Public Coverage; Margin of Error; MEDICARE COVERAGE ALONE OR IN COMBINATION - 18 to 64 years
HC01_EST_VC30,Total; Estimate; MEDICARE COVERAGE ALONE OR IN COMBINATION - 65 years and over
HC01_MOE_VC30,Total; Margin of Error; MEDICARE COVERAGE ALONE OR IN COMBINATION - 65 years and over
HC02_EST_VC30,Public Coverage; Estimate; MEDICARE COVERAGE ALONE OR IN COMBINATION - 65 years and over
HC02_MOE_VC30,Public Coverage; Margin of Error; MEDICARE COVERAGE ALONE OR IN COMBINATION - 65 years and over
HC03_EST_VC30,Percent Public Coverage; Estimate; MEDICARE COVERAGE ALONE OR IN COMBINATION - 65 years and over
HC03_MOE_VC30,Percent Public Coverage; Margin of Error; MEDICARE COVERAGE ALONE OR IN COMBINATION - 65 years and over
HC01_EST_VC33,Total; Estimate; MEDICAID/MEANS-TESTED PUBLIC COVERAGE ALONE OR IN COMBINATION - Under 18
HC01_MOE_VC33,Total; Margin of Error; MEDICAID/MEANS-TESTED PUBLIC COVERAGE ALONE OR IN COMBINATION - Under 18
HC02_EST_VC33,Public Coverage; Estimate; MEDICAID/MEANS-TESTED PUBLIC COVERAGE ALONE OR IN COMBINATION - Under 18
HC02_MOE_VC33,Public Coverage; Margin of Error; MEDICAID/MEANS-TESTED PUBLIC COVERAGE ALONE OR IN COMBINATION - Under 18
HC03_EST_VC33,Percent Public Coverage; Estimate; MEDICAID/MEANS-TESTED PUBLIC COVERAGE ALONE OR IN COMBINATION - Under 18
HC03_MOE_VC33,Percent Public Coverage; Margin of Error; MEDICAID/MEANS-TESTED PUBLIC COVERAGE ALONE OR IN COMBINATION - Under 18
HC01_EST_VC34,Total; Estimate; MEDICAID/MEANS-TESTED PUBLIC COVERAGE ALONE OR IN COMBINATION - 18 to 64 years
HC01_MOE_VC34,Total; Margin of Error; MEDICAID/MEANS-TESTED PUBLIC COVERAGE ALONE OR IN COMBINATION - 18 to 64 years
HC02_EST_VC34,Public Coverage; Estimate; MEDICAID/MEANS-TESTED PUBLIC COVERAGE ALONE OR IN COMBINATION - 18 to 64 years
HC02_MOE_VC34,Public Coverage; Margin of Error; MEDICAID/MEANS-TESTED PUBLIC COVERAGE ALONE OR IN COMBINATION - 18 to 64 years
HC03_EST_VC34,Percent Public Coverage; Estimate; MEDICAID/MEANS-TESTED PUBLIC COVERAGE ALONE OR IN COMBINATION - 18 to 64 years
HC03_MOE_VC34,Percent Public Coverage; Margin of Error; MEDICAID/MEANS-TESTED PUBLIC COVERAGE ALONE OR IN COMBINATION - 18 to 64 years
HC01_EST_VC35,Total; Estimate; MEDICAID/MEANS-TESTED PUBLIC COVERAGE ALONE OR IN COMBINATION - 65 years and over
HC01_MOE_VC35,Total; Margin of Error; MEDICAID/MEANS-TESTED PUBLIC COVERAGE ALONE OR IN COMBINATION - 65 years and over
HC02_EST_VC35,Public Coverage; Estimate; MEDICAID/MEANS-TESTED PUBLIC COVERAGE ALONE OR IN COMBINATION - 65 years and over
HC02_MOE_VC35,Public Coverage; Margin of Error; MEDICAID/MEANS-TESTED PUBLIC COVERAGE ALONE OR IN COMBINATION - 65 years and over
HC03_EST_VC35,Percent Public Coverage; Estimate; MEDICAID/MEANS-TESTED PUBLIC COVERAGE ALONE OR IN COMBINATION - 65 years and over
HC03_MOE_VC35,Percent Public Coverage; Margin of Error; MEDICAID/MEANS-TESTED PUBLIC COVERAGE ALONE OR IN COMBINATION - 65 years and over
HC01_EST_VC38,Total; Estimate; VA HEALTH CARE COVERAGE ALONE OR IN COMBINATION - Under 18
HC01_MOE_VC38,Total; Margin of Error; VA HEALTH CARE COVERAGE ALONE OR IN COMBINATION - Under 18
HC02_EST_VC38,Public Coverage; Estimate; VA HEALTH CARE COVERAGE ALONE OR IN COMBINATION - Under 18
HC02_MOE_VC38,Public Coverage; Margin of Error; VA HEALTH CARE COVERAGE ALONE OR IN COMBINATION - Under 18
HC03_EST_VC38,Percent Public Coverage; Estimate; VA HEALTH CARE COVERAGE ALONE OR IN COMBINATION - Under 18
HC03_MOE_VC38,Percent Public Coverage; Margin of Error; VA HEALTH CARE COVERAGE ALONE OR IN COMBINATION - Under 18
HC01_EST_VC39,Total; Estimate; VA HEALTH CARE COVERAGE ALONE OR IN COMBINATION - 18 to 64 years
HC01_MOE_VC39,Total; Margin of Error; VA HEALTH CARE COVERAGE ALONE OR IN COMBINATION - 18 to 64 years
HC02_EST_VC39,Public Coverage; Estimate; VA HEALTH CARE COVERAGE ALONE OR IN COMBINATION - 18 to 64 years
HC02_MOE_VC39,Public Coverage; Margin of Error; VA HEALTH CARE COVERAGE ALONE OR IN COMBINATION - 18 to 64 years
HC03_EST_VC39,Percent Public Coverage; Estimate; VA HEALTH CARE COVERAGE ALONE OR IN COMBINATION - 18 to 64 years
HC03_MOE_VC39,Percent Public Coverage; Margin of Error; VA HEALTH CARE COVERAGE ALONE OR IN COMBINATION - 18 to 64 years
HC01_EST_VC40,Total; Estimate; VA HEALTH CARE COVERAGE ALONE OR IN COMBINATION - 65 years and over
HC01_MOE_VC40,Total; Margin of Error; VA HEALTH CARE COVERAGE ALONE OR IN COMBINATION - 65 years and over
HC02_EST_VC40,Public Coverage; Estimate; VA HEALTH CARE COVERAGE ALONE OR IN COMBINATION - 65 years and over
HC02_MOE_VC40,Public Coverage; Margin of Error; VA HEALTH CARE COVERAGE ALONE OR IN COMBINATION - 65 years and over
HC03_EST_VC40,Percent Public Coverage; Estimate; VA HEALTH CARE COVERAGE ALONE OR IN COMBINATION - 65 years and over
HC03_MOE_VC40,Percent Public Coverage; Margin of Error; VA HEALTH CARE COVERAGE ALONE OR IN COMBINATION - 65 years and over
